,Unnamed: 0,IC50,SMILES,numb,C,O,N,MolWeight,Rings,TPSA,FpDM1,RotBonds
0,1,1250.0,O=C1N(Cc2ccc(COc3ccc(-c4ccc(Cl)cc4)cc3)cc2)CCN1c1ccncc1,34,28,2,3,469.155704688,5,45.67,0.7647058823529411,7
1,2,5000.0,O=C1N(CCN(CCOc2ccc(-c3ccc(Cl)cc3)cc2)Cc2ccccc2)CCN1c1ccncc1,38,31,2,4,526.2135539120001,5,48.910000000000004,0.8157894736842105,11
2,3,5200.0,Cc1ccc(Cn2cnc3c(N(C)C)nc(Cl)nc32)cc1,21,15,0,5,301.109423192,3,46.84,1.1428571428571428,3
3,4,408.514285714286,CC(CCOc1ccc(-c2ccc(Cl)cc2)cc1)CCN1CCN(c2ccncc2)C1=O,32,26,2,3,449.187004816,4,45.67,0.9375,9
4,5,386.0,c1ccc(C(c2ccccc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,34,28,0,6,446.22189483200003,6,50.080000000000005,0.6470588235294118,5
5,6,360.0,Cc1ccsc1C(c1ccccn1)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,34,26,0,7,467.1892148000001,6,62.970000000000006,0.8823529411764706,5
6,7,665.0,O=C1N(Cc2cccc(COc3ccc(-c4ccc(Cl)cc4)cc3)c2)CCN1c1ccncc1,34,28,2,3,469.155704688,5,45.67,0.8235294117647058,7
7,8,23940.0,Cc1cc(COc2ccc(-c3ccc(Cl)cc3)cc2)cc(CN2CCN(c3ccncc3)C2=O)c1,35,29,2,3,483.171354752,5,45.67,0.8571428571428571,7
8,9,366.975,CCn1nnc(-c2ccc(OCCC(C)CCN3CCN(c4ccncc4)C3=O)cc2)n1,32,23,2,7,435.23827316800003,4,89.27,1.0625,10
9,10,12980.0,CCCC(CCOc1ccc(-c2ccc(Cl)cc2)cc1)CCN1CCN(c2ccncc2)C1=O,34,28,2,3,477.218304944,4,45.67,0.9117647058823529,11
10,11,12.5,CC(CCCOc1ccc(-c2ccc(Cl)cc2)cc1)CN1CCN(c2ccncc2)C1=O,32,26,2,3,449.187004816,4,45.67,0.96875,9
11,12,36.0,CC(CCCN1CCN(c2ccncc2)C1=O)COc1ccc(-c2ccc(Cl)cc2)cc1,32,26,2,3,449.18700481599996,4,45.67,0.96875,9
12,13,12565.0,CC(C)(CCCN1CCN(c2ccncc2)C1=O)COc1ccc(-c2ccc(Cl)cc2)cc1,33,27,2,3,463.20265487999995,4,45.67,0.9393939393939394,9
13,14,690.0,CCc1nc(-c2ccc(OCCC(C)CCN3CCN(c4ccncc4)C3=O)cc2)no1,32,24,3,5,435.227039788,4,84.59,1.09375,10
14,15,12.7,CC(CCOc1ccc(-c2noc(C(F)(F)F)n2)cc1)CCN1CCN(c2ccncc2)C1=O,34,23,3,5,475.18312428800004,4,84.59,1.088235294117647,9
15,16,5770.0,O=C1N(CCCCCCOc2ccc(Br)cc2)CCN1c1ccncc1,26,20,2,3,417.10518910800005,3,45.67,0.9615384615384616,9
16,17,3803.1,O=C1N(CCCCCOc2ccc(-c3ccc(Cl)cc3)cc2)CCN1c1ccncc1,31,25,2,3,435.171354752,4,45.67,0.8387096774193549,9
17,18,10282.3529411765,Cc1ccc(Cn2cnc3c(N(C)C)nc(N(C)C)nc32)cc1,23,17,0,6,310.190594704,3,50.080000000000005,0.9565217391304348,4
18,19,3357.64705882353,CCc1ccc(Cn2cnc3c(N(C)C)nc(Cl)nc32)cc1,22,16,0,5,315.125073256,3,46.84,1.0909090909090908,4
19,20,37.0,CCCc1nc(-c2ccc(OCCC(C)CCN3CCN(c4ccncc4)C3=O)cc2)no1,33,25,3,5,449.242689852,4,84.59,1.0909090909090908,11
20,21,326.5,CC(CCCCN1CCN(c2ccncc2)C1=O)Oc1ccc(-c2ccc(Cl)cc2)cc1,32,26,2,3,449.18700481599996,4,45.67,0.9375,9
21,22,407.0,CC(C)(CCCOc1ccc(-c2ccc(Cl)cc2)cc1)CN1CCN(c2ccncc2)C1=O,33,27,2,3,463.20265488,4,45.67,0.9393939393939394,9
22,23,25000.0,O=C1N(CCN(CCOc2ccc(-c3ccc(Cl)cc3)cc2)Cc2ccc(Cl)cc2)CCN1c1ccncc1,39,31,2,4,560.1745815600001,5,48.910000000000004,0.7692307692307693,11
23,24,10616.4705882353,Cc1ccc(Cn2cnc3c(N(C)C)nc(C(F)(F)F)nc32)cc1,24,16,0,5,335.135780172,3,46.84,1.0833333333333333,3
24,25,340.0,c1ccc(C(c2nccs2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,33,25,0,7,453.17356473600006,6,62.970000000000006,0.8181818181818182,5
25,26,4065.0,O=C1N(CCOCCOc2ccc(-c3ccc(Cl)cc3)cc2)CCN1c1ccncc1,31,24,3,3,437.15061930800005,4,54.900000000000006,0.8387096774193549,9
26,27,9400.0,C[C@]1(COC(=O)c2ccc([N+](=O)[O-])cc2)CCC[C@@]2(C)[C@H]1[C@H](O)C=C1C(=O)OC[C@@]12O,31,22,8,1,431.1580167599999,4,136.20000000000002,1.2903225806451613,4
27,28,8195.55555555555,O=C1N(CCCCCCOc2ccc(C(F)(F)F)cc2)CCN1c1ccncc1,29,21,2,3,407.1820616680001,3,45.67,0.9310344827586207,9
28,29,25000.0,c1ccc(C(c2ccccc2)N2CCN(c3[nH]cnc4nncc3-4)CC2)cc1,28,22,0,6,370.19059470400003,5,60.94,0.8214285714285714,4
29,30,370.0,c1ccc(C(c2ccccn2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,34,27,0,7,447.21714380000003,6,62.970000000000006,0.7058823529411765,5
30,31,1900.0,c1ccc(-c2ccc(C(c3ccccc3)N3CCN(c4ncnc5c4cnn5-c4ccccc4)CC3)cc2)cc1,40,34,0,6,522.2531949600001,7,50.080000000000005,0.575,6
31,32,60.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C4CCCCC4)ncc3[nH]2)cc1)C1CCCCC1,33,26,2,5,445.24777523200004,5,99.77000000000001,0.8181818181818182,5
32,33,650.0,Cc1ccsc1C(c1c(C)noc1C)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,35,26,1,7,485.1997794840001,6,76.11000000000001,0.9714285714285714,5
33,34,25000.0,O=C1N(CCC(CCOc2ccc(-c3ccc(Cl)cc3)cc2)c2ccccc2)CCN1c1ccncc1,37,31,2,3,511.20265488,5,45.67,0.8108108108108109,10
34,35,25000.0,O=C1N(CCC2(CCOc3ccc(-c4ccc(Cl)cc4)cc3)CCCCC2)CCN1c1ccncc1,36,30,2,3,503.233955008,5,45.67,0.8333333333333334,9
35,36,25000.0,C[C@@H](CCOc1ccc(-c2ccc(Cl)cc2)cc1)CCN1CCN(c2ccncc2)C1=O,32,26,2,3,449.187004816,4,45.67,0.9375,9
36,37,1650.0,FC(F)(F)c1ccc(C(c2ccccc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,38,29,0,6,514.2092794600001,6,50.080000000000005,0.7105263157894737,5
37,38,4105.94444444444,CC(C)c1ccc(Cn2cnc3c(N(C)C)nc(Cl)nc32)cc1,23,17,0,5,329.14072332,3,46.84,1.1304347826086956,4
38,39,200.0,O=C(Nc1ccccn1)c1ccc2[nH]c(-c3ccc(NC(=O)[C@]45CC6CC(C4)[C@@H](O)C(C6)C5)cc3)nc2c1,38,30,3,5,507.227039788,8,120.0,0.9473684210526315,5
39,40,3410.0,CN(C)c1nc(Cl)nc2c1ncn2Cc1ccc(Cl)cc1,21,14,0,5,321.054800776,3,46.84,1.0952380952380953,3
40,41,200.0,O=C(Nc1ccccn1)c1cc2nc(-c3ccc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc3)[nH]c2cn1,37,29,2,6,492.22737413600004,8,112.65999999999998,0.8918918918918919,5
41,42,110.0,O=C(Nc1ccccn1)c1ccc2[nH]c(-c3ccc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc3)nc2c1,37,30,2,5,491.23212516800004,8,99.77,0.8648648648648649,5
42,43,1980.0,Cc1ccccc1C(c1ccccc1)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,35,29,0,6,460.2375448960001,6,50.080000000000005,0.7428571428571429,5
43,44,25000.0,Cn1ncc2c(N3CCN(C(c4ccccc4)c4ccccc4)CC3)ncnc21,29,23,0,6,384.20624476800003,5,50.080000000000005,0.7931034482758621,4
44,45,460.0,Cc1ccsc1C(c1ccccc1)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,34,27,0,6,466.19396583200006,6,50.080000000000005,0.8529411764705882,5
45,46,780.0,N#Cc1cccc(C(c2ccccc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)c1,36,29,0,7,471.2171438000001,6,73.87,0.7777777777777778,5
46,47,780.0,c1ccc(C(c2ccncc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,34,27,0,7,447.21714380000003,6,62.970000000000006,0.7058823529411765,5
47,48,2000.0,CC(=O)OC1CCC(C(=O)Nc2ccc(-c3nc4cc(NC(=O)C5CCC(OC(C)=O)CC5)ccc4[nH]3)cc2)CC1,41,31,6,4,560.2634848719999,5,139.48000000000002,0.7073170731707317,7
48,49,1250.0,O=C1N(Cc2ccccc2COc2ccc(-c3ccc(Cl)cc3)cc2)CCN1c1ccncc1,34,28,2,3,469.155704688,5,45.67,0.7941176470588235,7
49,50,600.0,O=C(NC1CCCCC1)c1ccc2[nH]c(-c3ccc(NC(=O)C4CCCCC4)cc3)nc2c1,33,27,2,4,444.252526264,5,86.88000000000001,0.8484848484848485,5
50,51,13555.0,CC(C)C(CCOc1ccc(-c2ccc(Cl)cc2)cc1)CCN1CCN(c2ccncc2)C1=O,34,28,2,3,477.218304944,4,45.67,0.9117647058823529,10
51,52,790.0,CN(CCOc1ccc(-c2ccc(Cl)cc2)cc1)CCN1CCN(c2ccncc2)C1=O,32,25,2,4,450.18225378400007,4,48.910000000000004,0.9375,9
52,53,1640.0,O=C1N(CCC(CCOc2ccc(-c3ccc(Cl)cc3)cc2)C(F)(F)F)CCN1c1ccncc1,35,26,2,3,503.15873938000004,4,45.67,0.9142857142857143,9
53,54,133.0,CC(CCCCOc1ccc(-c2ccc(Cl)cc2)cc1)N1CCN(c2ccncc2)C1=O,32,26,2,3,449.187004816,4,45.67,0.9375,9
54,55,90.5,CC(C)(CCOc1ccc(-c2ccc(Cl)cc2)cc1)CCN1CCN(c2ccncc2)C1=O,33,27,2,3,463.20265488,4,45.67,0.9090909090909091,9
55,56,385.0,CCC(CCOc1ccc(-c2ccc(Cl)cc2)cc1)CCN1CCN(c2ccncc2)C1=O,33,27,2,3,463.20265488,4,45.67,0.9393939393939394,10
56,57,60.0,O=C(Nc1cc2nc(-c3ccc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc3)[nH]c2cn1)c1ccccn1,37,29,2,6,492.22737413600004,8,112.66,0.8918918918918919,5
57,58,200.0,CC(=O)OC1C2CC3CC1CC(C(=O)Nc1ccc(-c4nc5cc(C(=O)Nc6ccccn6)ccc5[nH]4)cc1)(C3)C2,41,32,4,5,549.237604472,8,126.07000000000002,0.9512195121951219,6
58,59,25000.0,O=C1N(Cc2cccc(COc3ccc(-c4ccc(Cl)cc4)cc3)n2)CCN1c1ccncc1,34,27,2,4,470.15095365600007,5,58.56000000000001,0.8235294117647058,7
59,60,22.9,CC(CCOc1ccc(-c2nnn(C)n2)cc1)CCN1CCN(c2ccncc2)C1=O,31,22,2,7,421.22262310400004,4,89.27000000000001,1.064516129032258,9
60,61,5.45,Cc1nc(-c2ccc(OCCC(C)CCN3CCN(c4ccncc4)C3=O)cc2)no1,31,23,3,5,421.211389724,4,84.59,1.096774193548387,9
61,62,82.0,CCO/N=C/c1ccc(OCCC2CCN(c3ccc(C)nn3)CC2)cc1,27,21,2,4,368.22122613600004,3,59.84,1.1111111111111112,8
62,63,4560.0,c1ccc(C2COc3ccc(C4=NCCO4)cc3C2)cc1,21,18,2,1,279.12592878400005,4,30.82,1.0,2
63,64,450.0,N#Cc1ccc2c(c1)CCC(c1ccc(Cl)cc1)O2,19,16,1,1,269.060741684,3,33.019999999999996,1.1578947368421053,1
64,65,10.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C45CC6CC(CC(C6)C4)C5)ncc3[nH]2)cc1)C12CC3CC(CC(C3)C1)C2,41,34,2,5,549.310375488,11,99.77000000000001,0.7073170731707317,5
65,66,2000.0,O=C1C2CC3CC1CC(C(=O)Nc1ccc(-c4nc5cc(NC(=O)C67CC8CC(C6)C(=O)C(C8)C7)ncc5[nH]4)cc1)(C3)C2,43,34,4,5,577.2689045999999,11,133.91,0.7441860465116279,5
66,67,40.0,O=C(NC12CC3CC(CC(C3)C1)C2)c1cc2nc(-c3ccc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc3)[nH]c2cn1,41,34,2,5,549.310375488,11,99.77,0.7804878048780488,5
67,68,200.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C4CCCCC4)ccc3[nH]2)cc1)c1ccc(Cl)c(Cl)c1,35,27,2,4,506.127631368,5,86.88,0.8285714285714286,5
68,69,400.0,O=C(Nc1ccccn1)c1ccc2[nH]c(-c3ccc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc3F)nc2c1,38,30,2,5,509.222703356,8,99.77,0.9210526315789473,5
69,70,1.0,CCO/N=C/c1ccc(OCCC2CCN(c3ccc(Cl)nn3)CC2)cc1,27,20,2,4,388.16660372000007,3,59.84,1.1481481481481481,8
70,71,12500.0,Cc1ccc(CN(CCOc2ccc(-c3ccc(Cl)cc3)cc2)CCN2CCN(c3ccncc3)C2=O)cc1,39,32,2,4,540.229203976,5,48.910000000000004,0.8461538461538461,11
71,72,25000.0,CCn1ncc2c(N3CCN(C(c4ccccc4)c4ccccc4)CC3)ncnc21,30,24,0,6,398.22189483200003,5,50.080000000000005,0.8333333333333334,5
72,73,25000.0,c1ccc(Cn2ncc3c(N4CCN(C(c5ccccc5)c5ccccc5)CC4)ncnc32)cc1,35,29,0,6,460.23754489600003,6,50.080000000000005,0.6857142857142857,6
73,74,10.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C45CC6CC(CC(C6)C4)C5)ncc3[nH]2)cc1)C12CC3CC(C1)C(O)C(C3)C2,42,34,3,5,565.305290108,11,120.00000000000001,0.7857142857142857,5
74,75,940.0,N#Cc1ccc(C(c2ccccc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,36,29,0,7,471.2171438000001,6,73.87,0.75,5
75,76,910.0,Brc1ccc(C(c2ccccc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,35,28,0,6,524.1324069000001,6,50.080000000000005,0.7142857142857143,5
76,77,4600.0,c1ccc(C(c2cccnc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,34,27,0,7,447.21714380000003,6,62.970000000000006,0.7058823529411765,5
77,78,580.0,Cc1noc(C)c1C(c1ccccc1)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,35,27,1,7,465.2277084840001,6,76.11000000000001,0.8571428571428571,5
78,79,1970.0,Clc1ccc(C(c2ccccc2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,35,28,0,6,480.18292248000006,6,50.080000000000005,0.7142857142857143,5
79,80,50000.0,C[C@]1(CO)CCC[C@@]2(C)[C@H]1[C@H](OC(=O)c1ccc([N+](=O)[O-])cc1)C=C1C(=O)OC[C@@]12O,31,22,8,1,431.1580167599999,4,136.20000000000002,1.2903225806451613,4
80,81,20.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C45CC6CC(C4)C(O)C(C6)C5)ncc3[nH]2)cc1)C12CC3CC(CC(C3)C1)C2,42,34,3,5,565.305290108,11,120.0,0.7857142857142857,5
81,82,10000.0,O=C1N(CCC(CCOc2ccc(-c3ccc(Cl)cc3)cc2)Cc2ccccc2)CCN1c1ccncc1,38,32,2,3,525.218304944,5,45.67,0.8157894736842105,11
82,83,410.0,Cc1ccccc1C(c1sccc1C)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,35,28,0,6,480.20961589600006,6,50.080000000000005,0.8285714285714286,5
83,84,20.0,O=C(Nc1ccc(-c2nc3cc(C(=O)NC45CC6CC(CC(C6)C4)C5)ccc3[nH]2)cc1)c1ccc(Cl)c(Cl)c1,39,31,2,4,558.158931496,8,86.88,0.7948717948717948,5
84,85,4.0,Cc1cc(CCCCCCCOc2ccc(C3=NCCO3)cc2)on1,25,20,3,2,342.19434269199996,3,56.85,1.04,10
85,86,2000.0,O=C1C2CC3CC1CC(C(=O)Nc1ccc(-c4nc5cc(NC(=O)C67CC8CC(CC(C8)C6)C7)ncc5[nH]4)cc1)(C3)C2,42,34,3,5,563.2896400440001,11,116.84,0.7619047619047619,5
86,87,20.0,O=C(Nc1ccc(-c2nc3cc(C(=O)NC45CC6CC(C4)C(=O)C(C6)C5)ncc3[nH]2)cc1)c1ccc(Cl)cc1,39,30,3,5,539.172417372,8,116.84,0.9487179487179487,5
87,88,60.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C45CC6CC(CC(C6)C4)C5)ccc3[nH]2)cc1)C12CC3CC(CC(C3)C1)C2,41,35,2,4,548.31512652,11,86.88,0.6341463414634146,5
88,89,30.0,Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,27,18,3,3,381.13002609600005,3,74.18,1.0,6
89,90,400.0,O=C(Nc1ccc(-c2nc3cc(C(=O)NC45CC6CC(CC(C6)C4)C5)ncc3[nH]2)cc1)c1ccc(Cl)cc1,38,30,2,5,525.1931528160001,8,99.77000000000001,0.8947368421052632,5
90,91,160.0,O=C(Nc1ccc(-c2nc3cc(NC(=O)C4CCCCC4)ccc3[nH]2)cc1)C1CCCCC1,33,27,2,4,444.252526264,5,86.88,0.7272727272727273,5
91,92,320.0,Cc1ccsc1C(c1ccccc1Br)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,35,27,0,6,544.1044779000001,6,50.080000000000005,0.9142857142857143,5
92,93,25000.0,CCCn1ncc2c(N3CCN(C(c4ccccc4)c4ccccc4)CC3)ncnc21,31,25,0,6,412.23754489600003,5,50.080000000000005,0.8387096774193549,6
93,94,100.0,O=C(NC12CC3CC(C1)C(=O)C(C3)C2)c1cc2nc(-c3ccc(NC(=O)C45CC6CC(CC(O)(C6)C4)C5)cc3)[nH]c2cn1,43,34,4,5,579.284554664,11,137.07,0.9069767441860465,5
94,95,1250.0,c1ccc(C(c2ccco2)N2CCN(c3ncnc4c3cnn4-c3ccccc3)CC2)cc1,33,26,1,6,436.20115938800006,6,63.220000000000006,0.7878787878787878,5
95,96,600.0,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,22,17,3,2,302.163042564,1,69.64,1.1818181818181819,6
96,97,20.0,O=C(NC12CC3CC(CC(C3)C1)C2)c1ccc2[nH]c(-c3ccc(NC(=O)C45CC6CC(CC(C6)C4)C5)cc3)nc2c1,41,35,2,4,548.31512652,11,86.88000000000001,0.7317073170731707,5
97,98,10.0,COc1ccc(OCCCCCCCc2cc(C)no2)c(Cl)c1,23,18,3,1,337.144471308,2,44.49,1.0869565217391304,10
